ImageName,Length,Length_corrected
Image_959.jpg,857.5903,803.2885
Image_960.jpg,764.118,727.5168
Image_961.jpg,831.3001,785.4633
Image_961.jpg,778.3419,732.565
Image_962.jpg,747.8767,713.5801
Image_963.jpg,742.6925,695.8961
Image_964.jpg,727.8547,693.2223
Image_964.jpg,652.501,628.5294
Image_965.jpg,908.9145,851.9303
Image_966.jpg,730.9823,688.6435
Image_967.jpg,730.9336,694.5272
Image_967.jpg,785.2645,750.6456
Image_968.jpg,767.7669,728.8522
Image_969.jpg,862.746,807.099
Image_969.jpg,752.846,704.7725
Image_970.jpg,770.5964,724.3881
Image_971.jpg,552.0778,526.6095
Image_971.jpg,735.4886,697.794
Image_972.jpg,726.6234,691.2338
Image_973.jpg,709.0309,675.2796
Image_973.jpg,690.0609,658.5686
Image_974.jpg,770.9112,742.7755
Image_975.jpg,737.8764,699.0976
Image_976.jpg,674.9822,643.8532
Image_976.jpg,767.3193,739.4314
Image_976.jpg,621.2914,582.9184
Image_977.jpg,940.1753,902.3041
Image_978.jpg,710.9058,683.0502
Image_979.jpg,721.2599,679.4922
Image_980.jpg,775.4007,731.1848
Image_980.jpg,761.7955,729.7737
Image_981.jpg,725.5227,684.797
Image_981.jpg,638.7224,614.5436
Image_981.jpg,679.9003,654.84
Image_981.jpg,666.073,632.929
Image_982.jpg,751.2038,717.6054
Image_982.jpg,802.8403,752.5557
Image_982.jpg,886.1247,842.32
Image_983.jpg,707.5015,667.1503
Image_983.jpg,728.8937,687.615
Image_984.jpg,643.5694,610.4849
Image_985.jpg,762.3677,720.4602
Image_986.jpg,717.4531,681.102
Image_986.jpg,550.1672,517.5179
Image_986.jpg,769.9588,737.3184
Image_987.jpg,787.0479,739.4215
Image_987.jpg,708.6866,672.8552
Image_988.jpg,753.6605,723.8501
Image_988.jpg,809.0137,756.0032
Image_988.jpg,886.1247,843.2954
Image_989.jpg,749.2138,720.0131
Image_989.jpg,698.9701,666.0308
Image_989.jpg,741.7937,706.7237
